Player,Season,Born ,Age,Squad,Nation,Previous Market Value,Market Value,Position,App,Minutes,Goals,Passes,Assists,Yellow,Red,SubOn,SubOff,Shots,SOT,HitPost ,HeadClear,HeadGoal,PKScored,FKGoal,Offsides,ThrBall,Misses,Corners,Crosses,Blocks,Interceptions,Fouls,Last man ,Tackles,ELG,OwnGoal,Clears,ABW,ABL
Aaron Cresswell,2018-2019,1989,28,West Ham United,England,13200000,9900000,DF,20,1590,0,812,1,1,0,2,2,11,0,0,23,0,0,0,1,0,11,8,75,7,23,2,1,29,0,0,42,25,18
Aaron Cresswell,2017-2018,1989,28,West Ham United,England,13200000,13200000,DF,36,3071,1,1299,7,7,0,1,5,21,6,2,67,0,0,1,3,3,15,67,196,17,44,20,0,34,0,0,110,57,48
Aaron Cresswell,2015-2016,1989,25,West Ham United,England,9900000,13200000,DF,37,3315,2,1377,4,1,0,0,1,28,7,1,52,0,0,0,1,1,0,0,121,17,70,22,0,38,3,0,88,40,34
Aaron Cresswell,2016-2017,1989,26,West Ham United,England,13200000,13200000,DF,26,2117,0,758,2,2,1,2,3,11,2,0,27,0,0,0,4,0,1,0,97,6,25,11,0,21,1,0,61,36,33
Aaron Wan-Bissaka,2018-2019,1997,21,Crystal Palace,England,900000,31500000,DF,35,3135,0,1165,3,4,1,0,0,9,0,0,59,0,0,0,2,0,9,0,56,16,84,23,0,129,0,0,129,43,30
Abdul Rahman Baba,2015-2016,1994,21,Chelsea,Ghana,10000000,12000000,DF,15,1016,0,526,1,1,0,4,3,6,2,0,16,0,0,0,2,0,0,0,31,4,23,14,0,47,1,0,32,8,13
Adam Masina,2018-2019,1994,24,Watford,Italy,6300000,6300000,DF,14,1004,0,436,1,5,0,3,2,3,0,1,22,0,0,0,1,0,3,16,31,4,17,17,0,30,0,0,36,23,15
Adam Smith,2018-2019,1991,27,AFC Bournemouth,England,4500000,6300000,DF,25,2072,0,872,0,5,1,0,6,7,0,0,33,0,0,0,0,0,7,6,22,7,31,18,0,46,0,0,57,28,31
Adam Smith,2015-2016,1991,24,AFC Bournemouth,England,450000,1800000,DF,31,2096,2,911,0,5,0,9,2,15,4,0,25,0,0,0,2,1,0,4,56,5,44,33,0,71,0,0,49,21,32
Adam Smith,2016-2017,1991,25,AFC Bournemouth,England,1800000,4500000,DF,36,3099,1,1452,5,6,0,2,0,26,6,2,36,0,0,0,3,2,1,8,55,13,54,45,0,85,0,0,71,31,50
Adam Smith,2017-2018,1991,26,AFC Bournemouth,England,4500000,4500000,DF,27,2069,1,912,3,6,0,5,2,13,3,0,23,0,0,0,0,1,10,6,35,8,31,23,0,49,0,0,56,15,28
Adama Traore,2016-2017,1996,20,Middlesbrough,Spain,6300000,7200000,DF,27,1535,0,369,1,1,0,11,7,11,2,0,1,0,0,0,1,6,1,0,79,2,6,20,0,30,0,0,5,15,23
Adrian Mariappa,2017-2018,1986,31,Watford,Jamaica,900000,1350000,DF,28,2208,0,961,0,4,0,4,3,10,2,0,79,0,0,0,0,0,8,0,4,16,45,32,1,45,2,0,129,90,75
Adrian Mariappa,2018-2019,1986,31,Watford,Jamaica,1350000,2700000,DF,26,1924,0,882,0,3,0,6,0,7,1,0,51,0,0,0,1,0,6,0,1,15,25,19,2,35,1,0,119,59,58
Ahmed El Mohamady,2016-2017,1987,29,Hull City,Egypt,4400000,4400000,DF,33,2520,0,1371,2,3,1,5,1,9,2,0,53,0,0,0,1,1,0,0,123,8,49,22,0,42,0,1,90,59,38
Ahmed Hegazi,2017-2018,1991,26,West Bromwich Albion,Egypt,1650000,5500000,DF,38,3387,2,1186,0,4,0,0,1,14,4,0,152,2,0,0,2,1,10,0,10,37,60,24,0,58,1,0,270,103,84
Alan Hutton,2015-2016,1984,30,Aston Villa,Scotland,2000000,2000000,DF,28,2330,0,843,1,6,1,2,1,9,0,0,32,0,0,0,3,1,1,0,121,10,52,28,0,55,2,2,52,34,16
Alberto Moreno,2015-2016,1992,23,Liverpool,Spain,16500000,16500000,DF,28,2547,1,1323,4,3,0,4,3,36,8,1,12,0,0,0,6,1,1,31,138,5,63,29,0,92,0,0,48,14,15
Alberto Moreno,2017-2018,1992,25,Liverpool,Spain,11000000,11000000,DF,16,1264,0,783,0,1,0,2,0,12,2,0,16,0,0,0,0,1,10,3,51,2,12,8,0,35,0,0,39,10,17
Alberto Moreno,2016-2017,1992,24,Liverpool,Spain,16500000,11000000,DF,12,298,0,182,1,1,0,10,0,3,0,1,6,0,0,0,0,0,0,3,13,0,2,2,0,6,0,0,17,2,4
Aleksandar Dragovic,2017-2018,1991,26,Leicester City,Austria,10800000,9000000,DF,11,767,0,337,0,2,0,4,1,0,0,0,25,0,0,0,0,0,0,0,1,8,16,7,0,13,0,0,42,13,9
Aleksandar Kolarov,2016-2017,1985,30,Manchester City,Serbia,9900000,9000000,DF,29,2533,1,1859,1,6,0,2,0,32,10,0,106,0,0,1,0,6,0,2,27,10,46,34,0,47,0,1,155,84,41
Aleksandar Kolarov,2015-2016,1985,29,Manchester City,Serbia,9900000,9900000,DF,29,2281,3,1361,3,3,0,4,2,39,10,3,48,0,0,0,3,1,2,43,149,8,46,20,0,34,0,0,71,47,25
Alfie Mawson,2017-2018,1994,23,Swansea City,England,5400000,13500000,DF,38,3420,2,1744,1,3,0,0,0,20,6,0,126,0,0,0,0,1,14,0,2,32,35,19,0,32,1,0,222,122,74
Alfie Mawson,2016-2017,1994,22,Swansea City,England,270000,5400000,DF,27,2430,4,1218,0,1,0,0,0,22,5,2,95,3,0,0,0,1,1,0,1,27,30,10,0,29,1,2,169,84,52
Alfie Mawson,2018-2019,1994,24,Fulham,England,13500000,13500000,DF,15,1130,0,477,0,2,0,2,2,2,1,0,38,0,0,0,0,0,1,0,3,17,19,6,0,11,0,0,64,32,21
Allan-Romeo Nyom,2016-2017,1988,28,West Bromwich Albion,Cameroon,3600000,4050000,DF,32,2637,0,735,2,8,0,3,3,6,1,0,57,0,0,0,2,0,0,0,78,8,60,50,0,72,0,0,101,21,19
Allan-Romeo Nyom,2015-2016,1988,27,Watford,Cameroon,3600000,3600000,DF,28,2474,0,860,1,8,0,3,9,7,1,0,26,0,0,0,0,1,0,0,85,7,60,36,0,84,1,0,70,13,20
Allan-Romeo Nyom,2017-2018,1988,29,West Bromwich Albion,Cameroon,4050000,4050000,DF,29,2308,0,753,1,7,0,4,2,0,0,0,47,0,0,0,0,0,0,0,88,9,27,20,0,64,0,0,83,22,19
Aly Cissokho,2015-2016,1987,27,Aston Villa,France,2700000,1800000,DF,18,1603,0,647,0,3,1,0,0,4,3,0,31,0,0,0,0,0,0,0,81,3,40,13,0,26,0,0,75,22,12
Andre Wisdom,2015-2016,1993,22,Norwich City,England,4500000,2700000,DF,10,823,0,307,0,1,0,0,0,2,0,0,15,0,0,0,0,0,0,0,25,0,8,3,0,19,0,0,23,10,10
Andrea Ranocchia,2016-2017,1988,28,Hull City,Italy,6600000,5500000,DF,16,1329,2,550,2,2,0,0,1,8,5,0,70,1,0,0,0,0,1,0,2,12,22,13,0,28,1,0,114,43,35
Andreas Christensen,2017-2018,1996,21,Chelsea,Denmark,19800000,44000000,DF,27,2070,0,1349,0,0,0,4,6,12,1,2,60,0,0,0,1,1,11,0,0,17,38,8,0,26,1,0,104,56,29
Andrew Robertson,2017-2018,1994,23,Liverpool,Scotland,6300000,22500000,DF,22,1943,1,1421,5,2,0,0,3,12,2,0,16,0,0,0,5,3,10,0,88,2,26,15,1,31,0,0,49,15,10
Andrew Robertson,2018-2019,1994,24,Liverpool,Scotland,22500000,54000000,DF,36,3219,0,2396,11,4,0,0,3,16,5,1,23,0,0,0,1,2,11,4,135,6,30,18,0,80,0,0,47,24,29
Andrew Robertson,2016-2017,1994,22,Hull City,Scotland,6300000,6300000,DF,33,2736,1,1229,2,5,0,2,2,7,1,1,28,0,0,0,1,0,0,9,119,15,55,18,3,53,0,0,75,9,13
Angel Rangel,2015-2016,1982,33,Swansea City,Spain,1650000,1650000,DF,20,1821,0,1278,0,6,0,3,4,14,0,1,38,0,0,0,2,0,1,0,47,7,59,19,0,43,0,0,72,36,25
Angel Rangel,2016-2017,1982,34,Swansea City,Spain,1650000,1100000,DF,18,823,1,545,0,1,0,10,1,5,3,0,20,0,0,0,1,0,0,0,11,3,26,10,0,32,0,0,31,13,13
Angelo Ogbonna,2016-2017,1988,28,West Ham United,Italy,8100000,8100000,DF,20,1755,0,805,0,2,0,0,1,3,1,0,58,0,0,0,0,0,0,0,4,14,37,13,0,27,1,0,96,44,18
Angelo Ogbonna,2018-2019,1988,30,West Ham United,Italy,8100000,7200000,DF,24,1871,1,795,1,2,0,4,0,14,5,0,45,0,0,0,0,1,9,0,0,19,35,15,0,31,0,0,99,79,37
Angelo Ogbonna,2015-2016,1988,27,West Ham United,Italy,8100000,8100000,DF,28,2328,0,945,0,5,0,1,2,6,0,0,98,0,0,0,0,0,0,0,1,19,50,21,0,43,1,0,161,62,31
Angelo Ogbonna,2017-2018,1988,29,West Ham United,Italy,8100000,8100000,DF,32,2880,1,1013,0,3,0,0,0,2,2,0,103,1,0,0,0,1,0,0,2,27,58,15,0,30,0,0,191,80,73
Antonio Barragán,2016-2017,1987,29,Middlesbrough,Spain,3850000,3300000,DF,26,2196,0,1027,0,5,0,0,3,3,0,0,35,0,0,0,1,1,0,0,71,13,59,27,0,72,0,0,70,21,22
Antonio Rüdiger,2017-2018,1993,24,Chelsea,Germany,22500000,36000000,DF,27,2336,2,1709,1,4,0,2,0,15,4,0,52,2,0,0,2,3,11,0,10,15,24,26,0,31,0,0,101,59,39
Antonio Rüdiger,2018-2019,1993,25,Chelsea,Germany,36000000,45000000,DF,33,2874,1,2537,0,0,0,0,3,26,6,1,58,0,0,0,1,8,20,0,0,8,32,28,0,34,0,0,95,83,75
Antonio Valencia,2015-2016,1985,29,Manchester United,Ecuador,9000000,7200000,DF,14,855,0,584,3,1,0,6,2,6,1,0,8,0,0,0,2,1,0,0,35,6,15,16,0,27,0,0,18,18,8
Antonio Valencia,2016-2017,1985,30,Manchester United,Ecuador,7200000,9000000,DF,28,2483,1,1370,3,5,0,0,0,9,4,0,27,0,0,0,7,0,1,3,142,7,43,33,0,67,0,0,58,22,25
Antonio Valencia,2017-2018,1985,32,Manchester United,Ecuador,9000000,4500000,DF,31,2742,3,1602,1,7,0,0,3,16,3,0,25,0,0,0,4,3,13,0,79,6,48,38,0,57,0,0,60,22,25
Aron Gunnarsson,2018-2019,1989,29,Cardiff City,Iceland,2250000,1900000,DF,28,2275,1,749,1,5,0,1,9,20,4,0,22,0,0,0,0,4,16,0,12,12,38,26,0,51,0,0,54,47,33
Arthur Masuaku,2017-2018,1993,24,West Ham United,The Democratic Republic Of Congo,6300000,6300000,DF,27,1871,0,683,3,5,0,6,8,3,3,0,11,0,0,0,2,1,0,0,100,2,26,30,0,58,0,0,33,23,20
Arthur Masuaku,2016-2017,1993,22,West Ham United,The Democratic Republic Of Congo,6300000,6300000,DF,13,971,0,468,1,1,0,2,2,4,0,0,15,0,0,0,0,0,0,0,30,1,26,16,0,40,0,0,27,16,15
Arthur Masuaku,2018-2019,1993,24,West Ham United,The Democratic Republic Of Congo,6300000,6300000,DF,23,1757,0,880,1,2,0,4,1,4,1,0,33,0,0,0,0,1,3,1,37,6,36,16,0,57,0,0,56,21,21
Ashley Williams,2015-2016,1984,30,Swansea City,Wales,5850000,5850000,DF,36,3240,2,1883,0,8,0,0,0,16,0,0,172,0,0,0,2,2,0,0,3,43,99,30,2,68,0,0,314,73,53
Ashley Williams,2016-2017,1984,31,Everton,Wales,5850000,7200000,DF,36,3158,1,1720,3,7,0,0,0,15,6,0,152,0,0,0,3,0,0,0,0,27,57,38,0,53,0,0,287,82,62
Ashley Williams,2017-2018,1984,32,Everton,Wales,7200000,4500000,DF,24,1832,1,732,0,3,1,4,3,13,3,0,95,1,0,0,3,0,10,0,1,23,36,25,0,23,1,0,170,52,42
Ashley Young,2015-2016,1985,30,Manchester United,England,9000000,9000000,DF,18,1063,0,566,2,5,0,7,3,7,3,0,5,0,0,0,2,0,0,6,77,0,26,15,0,20,0,0,18,12,6
Ashley Young,2018-2019,1985,33,Manchester United,England,6300000,4500000,DF,30,2569,2,1376,2,8,0,2,0,12,3,0,19,0,0,0,4,2,9,102,197,10,55,37,0,52,0,0,58,23,12
Ashley Young,2017-2018,1985,32,Manchester United,England,4500000,6300000,DF,30,2445,2,1285,4,7,0,2,7,18,4,1,36,0,0,1,0,2,14,24,121,5,57,29,0,53,0,0,72,19,21
Ashley Young,2016-2017,1985,31,Manchester United,England,9000000,4500000,DF,12,756,0,429,1,2,0,4,3,5,0,0,6,0,0,0,0,1,0,8,38,2,16,9,0,18,0,0,25,3,5
Aymeric Laporte,2018-2019,1994,24,Manchester City,France,45000000,67500000,DF,35,3057,3,2998,3,3,0,1,1,26,7,0,62,3,0,0,2,0,19,0,6,9,39,21,0,42,0,0,95,78,57
Bacary Sagna,2015-2016,1983,32,Manchester City,France,5400000,6300000,DF,28,2448,0,1587,3,4,0,1,1,5,2,0,61,0,0,0,0,2,0,0,74,7,50,17,0,50,0,0,99,86,57
Bacary Sagna,2016-2017,1983,33,Manchester City,France,6300000,3600000,DF,17,1345,0,832,1,2,0,3,1,4,1,0,28,0,0,0,1,0,0,0,26,3,20,3,0,23,0,0,48,39,29
Ben Chilwell,2018-2019,1996,21,Leicester City,England,7200000,31500000,DF,36,3240,0,1684,4,4,0,0,0,22,10,0,81,0,0,0,2,3,12,4,132,7,38,32,1,55,0,0,129,111,72
Ben Chilwell,2016-2017,1996,19,Leicester City,England,2250000,2250000,DF,12,696,1,301,0,2,0,5,0,7,2,0,8,0,0,0,1,2,0,0,18,3,23,7,0,23,0,0,16,27,18
Ben Chilwell,2017-2018,1996,20,Leicester City,England,2250000,7200000,DF,24,1852,0,901,2,1,1,4,3,1,1,0,33,0,0,0,4,0,0,1,84,4,28,13,0,36,1,0,62,67,61
Ben Davies,2018-2019,1993,25,Tottenham,Wales,22500000,22500000,DF,27,1839,0,1085,0,2,0,7,2,14,1,0,36,0,0,0,0,0,13,7,43,10,23,18,0,56,0,0,62,45,37
Ben Davies,2016-2017,1993,23,Tottenham,Wales,7200000,10800000,DF,23,1735,1,1052,3,1,0,5,1,13,4,0,41,0,0,0,2,1,0,14,75,7,12,13,0,39,0,0,78,48,43
Ben Davies,2015-2016,1993,22,Tottenham,Wales,7200000,7200000,DF,17,1288,0,623,0,3,0,3,0,9,0,1,36,0,0,0,0,2,0,1,42,6,28,16,0,32,0,0,61,25,24
Ben Davies,2017-2018,1993,24,Tottenham,Wales,10800000,22500000,DF,29,2325,2,1304,6,3,0,3,2,18,6,0,33,0,0,0,0,0,12,49,149,5,28,24,0,47,0,0,62,45,50
Ben Gibson,2016-2017,1993,23,Middlesbrough,England,2200000,8800000,DF,38,3420,1,1682,1,4,0,0,0,15,6,0,119,1,0,0,1,0,0,0,0,31,57,19,2,31,0,0,234,61,67
Ben Mee,2016-2017,1989,26,Burnley,England,3150000,5400000,DF,34,3015,0,1146,0,5,0,0,1,16,6,0,176,0,0,0,0,0,0,0,4,46,72,23,2,47,1,2,300,126,77
Ben Mee,2017-2018,1989,28,Burnley,England,5400000,9000000,DF,29,2610,0,1071,0,5,0,0,0,25,8,0,138,0,0,0,3,0,17,0,3,42,33,14,2,33,1,0,208,117,78
Ben Mee,2018-2019,1989,28,Burnley,England,9000000,9000000,DF,38,3420,0,1502,2,9,0,0,0,21,4,1,127,0,0,0,0,1,17,0,4,50,48,27,1,54,1,2,232,149,105
Benjamin Mendy,2018-2019,1994,24,Manchester City,France,36000000,31500000,DF,10,900,0,650,5,1,0,0,0,7,3,0,11,0,0,0,0,2,4,0,51,4,10,12,0,16,0,0,16,8,22
Bernardo,2018-2019,1995,23,Brighton and Hove Albion,Brazil,5400000,8100000,DF,22,1750,0,785,1,4,0,3,1,8,3,0,37,0,0,0,2,0,5,0,31,14,34,17,0,62,0,0,66,44,30
Bernardo Espinosa,2016-2017,1989,27,Middlesbrough,Colombia,2750000,2750000,DF,11,975,0,526,0,2,0,1,1,2,1,0,39,0,0,0,1,0,0,0,0,7,17,17,0,22,0,0,68,27,35
Billy Jones,2015-2016,1987,28,Sunderland,England,1800000,1350000,DF,24,2033,1,569,1,8,0,1,2,14,4,1,40,0,0,0,3,1,3,0,41,17,30,32,0,76,1,0,64,61,35
Billy Jones,2016-2017,1987,29,Sunderland,England,1350000,1350000,DF,27,2270,1,701,0,8,0,2,3,15,4,0,64,1,0,0,0,0,0,0,42,16,46,25,0,55,0,0,94,95,64
Branislav Ivanovic,2015-2016,1984,31,Chelsea,Serbia,15300000,9000000,DF,33,2918,2,1301,0,5,0,0,2,28,7,0,54,2,0,0,1,0,3,0,74,18,60,32,0,66,2,0,87,81,41
Branislav Ivanovic,2016-2017,1984,32,Chelsea,Serbia,9000000,4500000,DF,13,584,0,329,0,2,0,7,0,7,2,0,15,0,0,0,2,1,0,0,23,2,11,8,0,11,0,0,24,19,12
Brendan Galloway,2015-2016,1996,19,Everton,England,1350000,2700000,DF,15,1223,0,396,1,2,0,1,4,8,0,0,9,0,0,0,0,0,0,0,13,5,21,9,0,50,0,0,30,7,12
Bruno,2017-2018,1980,37,Brighton and Hove Albion,Spain,500000,750000,DF,25,2017,0,973,0,3,0,2,4,1,1,0,31,0,0,0,0,0,0,0,41,11,38,19,0,30,0,0,60,28,22
Bruno,2018-2019,1980,38,Brighton and Hove Albion,Spain,750000,100000,DF,14,1136,0,510,1,2,0,0,5,2,0,0,12,0,0,0,3,0,2,1,17,2,11,4,0,25,1,0,26,8,16
Bruno Ecuele Manga,2018-2019,1988,30,Cardiff City,Gabon,2700000,2700000,DF,38,3375,0,957,1,0,0,1,0,10,4,0,89,0,0,0,1,2,6,0,20,28,81,15,0,69,2,0,171,87,62
Bruno Martins Indi,2017-2018,1992,25,Stoke City,Netherlands,9900000,9000000,DF,17,1246,0,351,0,3,0,3,4,1,1,0,39,0,0,0,0,0,0,0,4,11,21,12,1,21,1,0,76,25,21
Bruno Martins Indi,2016-2017,1992,24,Stoke City,Netherlands,9000000,9900000,DF,35,3147,0,1115,0,5,0,0,1,18,7,0,107,0,0,0,2,0,1,0,3,20,58,25,0,61,0,0,210,58,64
Bryan Oviedo,2016-2017,1990,26,Sunderland,Costa Rica,2700000,2250000,DF,16,1056,0,398,0,3,0,0,3,3,1,0,9,0,0,0,1,0,0,0,21,5,19,14,0,31,0,0,28,8,3
Bryan Oviedo,2015-2016,1990,25,Everton,Costa Rica,2700000,2700000,DF,14,998,0,432,1,0,0,2,4,5,3,0,14,0,0,0,0,1,1,15,42,4,20,17,0,41,0,0,34,3,14
Callum Paterson,2018-2019,1994,23,Cardiff City,Scotland,3150000,4500000,DF,27,1996,4,552,1,4,0,6,4,41,8,1,16,0,0,0,10,2,33,0,23,2,8,41,0,21,0,0,28,202,217
Calum Chambers,2015-2016,1995,20,Arsenal,England,10800000,10800000,DF,12,276,0,77,1,2,0,10,2,8,1,0,0,0,0,0,0,0,0,1,15,0,2,2,0,6,0,0,0,3,0
Calum Chambers,2016-2017,1995,21,Middlesbrough,England,10800000,12600000,DF,25,2250,2,1116,1,4,0,0,0,8,3,0,103,1,0,0,1,0,0,0,21,26,52,23,0,49,0,0,175,71,50
Calum Chambers,2018-2019,1995,23,Fulham,England,12600000,12600000,DF,31,2586,2,1484,0,9,0,2,1,35,11,1,48,0,0,0,0,2,24,0,14,12,69,34,0,63,1,0,107,64,55
Calum Chambers,2017-2018,1995,22,Arsenal,England,12600000,12600000,DF,12,869,0,600,0,1,0,2,5,10,3,0,22,0,0,0,0,0,7,0,7,11,18,10,0,17,0,0,44,28,30
Cameron Borthwick-Jackson,2015-2016,1997,18,Manchester United,England,875000,2700000,DF,13,772,5,131,0,0,0,4,4,17,8,0,0,0,0,0,4,0,0,0,5,2,1,12,0,5,0,0,0,4,13
Cédric Soares,2018-2019,1991,26,Southampton,Portugal,13500000,9000000,DF,18,1494,1,594,2,0,0,2,1,10,3,0,23,0,0,1,1,0,7,1,64,5,22,9,1,23,2,0,50,23,25
Cédric Soares,2016-2017,1991,24,Southampton,Portugal,9900000,13500000,DF,30,2520,0,1256,3,7,0,0,5,20,6,0,39,0,0,0,2,1,0,0,144,7,33,22,0,83,0,0,76,27,52
Cédric Soares,2015-2016,1991,23,Southampton,Portugal,8550000,9900000,DF,16,1440,2,730,0,3,0,6,12,17,0,0,2,0,0,0,2,0,0,32,77,2,10,3,0,22,0,0,5,1,4
Cédric Soares,2017-2018,1991,26,Southampton,Portugal,13500000,13500000,DF,32,2797,0,1275,3,3,0,0,3,23,4,0,38,0,0,0,3,2,19,0,137,8,24,16,0,54,2,0,82,0,62
Cesar Azpilicueta,2016-2017,1989,27,Chelsea,Spain,20000000,30000000,DF,38,3420,1,2459,4,4,0,0,0,18,6,0,83,0,0,0,2,10,0,0,41,8,71,27,0,84,0,0,119,81,69
Cesar Azpilicueta,2017-2018,1989,28,Chelsea,Spain,30000000,40000000,DF,37,3330,2,2760,6,1,0,0,0,13,3,0,65,1,0,0,1,10,10,0,80,22,54,25,0,80,0,1,119,81,55
Cesar Azpilicueta,2018-2019,1989,29,Chelsea,Spain,40000000,35000000,DF,38,3403,1,2483,5,0,0,0,1,17,7,0,43,1,0,0,2,2,10,0,118,16,43,39,0,105,0,0,75,69,50
Cesar Azpilicueta,2015-2016,1989,26,Chelsea,Spain,23000000,20000000,DF,20,1370,0,793,0,3,0,4,7,13,4,0,11,0,0,0,0,0,0,0,3,5,45,25,0,54,0,0,25,27,20
Chancel Mbemba,2015-2016,1994,20,Newcastle United,The Democratic Republic Of Congo,7200000,9000000,DF,33,2924,0,1147,0,5,0,0,1,12,0,0,115,0,0,0,0,0,0,0,10,25,96,21,3,77,2,0,231,48,54
